keyword,local_name,category,sumber,cloudflare_link,edukasi_singkat,langkah_olah,alat_dibutuhkan,hasil_akhir
Plastic Bottle (PET),Botol Plastik (Air Mineral),Anorganik,Youtube Rezarisa'GATARI,https://files.lingkungansehatasri.my.id/videoOlah/PlasticBottlePET_BotolPlastikAirMineral_Anorganik_YoutubeRezarisaGATARI.mp4,"Bersihkan, keringkan, dan remukkan. Pisahkan tutupnya. Sangat laku di bank sampah.","Bersihkan, keringkan, remukkan. Kumpulkan & setor ke bank sampah/pengepul.",Tempat sampah terpilah,Biji Plastik (didaur ulang)
Plastic Bottle (HDPE),Botol Plastik (Shampo/Sabun),Anorganik,Youtube Creatively Happy Garden,https://files.lingkungansehatasri.my.id/videoOlah/PlasticBottleHDPE_BotolPlastikShampoSabun_Anorganik_YoutubeCreativelyHappyGarden.mp4,"Bersihkan, keringkan. Biasa didaur ulang jadi produk non-pangan.","Bersihkan sisa sabun, keringkan. Kumpulkan & setor ke bank sampah (terpisah dari PET).",Tempat sampah terpilah,Biji Plastik HDPE
Plastic Cup (PP),Gelas Plastik (Air Mineral/Kopi),Anorganik,Youtube Sustainability Matters,https://files.lingkungansehatasri.my.id/videoOlah/PlasticCupPP_GelasPlastikAirMineralKopi_Anorganik_YoutubeSustainabilityMatters.mp4,"Bersihkan, keringkan. Kumpulkan terpisah. Pisahkan dari tutupnya (jika ada).","Bersihkan sisa minuman & gula, keringkan. Kumpulkan & setor ke bank sampah.",Tempat sampah terpilah,Biji Plastik PP
Plastic Bag,Kantong Kresek,Residu,Youtube Sedikit Tahu,https://files.lingkungansehatasri.my.id/videoOlah/PlasticBag_KantongKresek_Residu_YoutubeSedikitTahu.mp4,"Sangat sulit didaur ulang karena tipis & kotor. Sebaiknya hindari. Jika terpaksa, kumpulkan kering.","Bersihkan, keringkan. Lipat rapi. Setor ke bank sampah (nilai rendah) atau gunakan ulang sebagai pelapis tempat sampah.",Tempat sampah terpilah,Didaur ulang (nilai rendah) / Lapisan sampah
Food Packaging (PP),Wadah Makanan Plastik (Tipis),Anorganik,Vaniafherlambang,https://files.lingkungansehatasri.my.id/videoOlah/FoodPackagingPP_WadahMakananPlastikTipis_Anorganik_Vaniafherlambang.mp4,Bersihkan dari sisa makanan hingga bersih dan kering sebelum dikumpulkan.,"Bersihkan sisa makanan/minyak, keringkan. Kumpulkan & setor ke bank sampah.",Tempat sampah terpilah,Biji Plastik PP
Styrofoam,Styrofoam (Gabus),Residu,Youtube Aksi Kita Indonesia,https://files.lingkungansehatasri.my.id/videoOlah/Styrofoam_StyrofoamGabus_Residu_YoutubeAksiKitaIndonesia.mp4,Sangat sulit didaur ulang. Hindari penggunaan. Buang ke tempat sampah residu.,"Bersihkan. Jika ada pengelola khusus (jarang), kumpulkan. Jika tidak ada, buang ke residu.",Tempat sampah residu,Dibuang ke TPA / Didaur ulang (jarang)
Glass Bottle (Clear),Botol Kaca Bening (Botol Sirup),Anorganik,Youtube soeasy jepang (note: edit nanti dibagian botol kaca aja),https://files.lingkungansehatasri.my.id/videoOlah/GlassBottleClear_BotolKacaBeningBotolSirup_Anorganik_Youtubesoeasyjepang.mp4,"Bersihkan, keringkan. Bisa didaur ulang berkali-kali tanpa mengurangi kualitas.","Bersihkan, keringkan. Setor ke bank sampah (terpilah berdasarkan warna jika diminta).",Tempat sampah terpilah,Dilebur (Kaca baru) / Digunakan ulang
Glass Bottle (Colored),Botol Kaca Berwarna (Botol Bir),Anorganik,Tiktok Deddy Wahyudi,https://files.lingkungansehatasri.my.id/videoOlah/GlassBottleColored_BotolKacaBerwarnaBotolBir_Anorganik_TiktokDeddyWahyudi.mp4,"Bersihkan, keringkan. Pisahkan dari kaca bening.","Bersihkan, keringkan. Setor ke bank sampah (terpilah berdasarkan warna jika diminta).",Tempat sampah terpilah,Dilebur (Kaca baru) / Digunakan ulang
Aluminum Can,Kaleng Aluminium (Minuman),Anorganik,Tiktok RickoEn,https://files.lingkungansehatasri.my.id/videoOlah/AluminumCan_KalengAluminiumMinuman_Anorganik_TiktokRickoEn.mp4,"Bersihkan, keringkan, remukkan. Nilai daur ulang sangat tinggi.","Bersihkan, keringkan, remukkan jika bisa. Setor ke bank sampah (nilai tinggi).",Tempat sampah terpilah,Dilebur (Aluminium baru)
Tin Can,Kaleng Baja (Sarden/Susu),Anorganik,Tiktok Panda Farm Indonesia,https://files.lingkungansehatasri.my.id/videoOlah/TinCan_KalengBajaSardenSusu_Anorganik_TiktokPandaFarmIndonesia.mp4,"Bersihkan, keringkan. Bisa didaur ulang.","Bersihkan sisa makanan/minyak, keringkan. Setor ke bank sampah.",Tempat sampah terpilah,Dilebur (Baja baru)
